IRSZ;CíMHELY NEVE;JELLEGE;VÁROSRÉSZ;1.SZÁM;1.JEL;2.SZÁM;2.JEL
9012;Aba Sámuel                    ;út;Ménfõcsanak;0;;0;
9012;Achilles;park;;0;;0;
9025;Achim András                  ;utca;;0;;0;
9026;Ady Endre                     ;utca;;0;;0;
9011;Áfonya;út;Gyõrszentiván;0;;0;
9025;Akác                          ;tér;;0;;0;
9025;Akác                          ;utca;;0;;0;
9011;Akácos;út;Gyõrszentiván;0;;0;
9011;Ákom Lajos;utca;;0;;0;
9026;Áldozat                       ;utca;;0;;0;
9028;Alkonyat;utca;;0;;0;
9012;Állomás;út;;0;;0;
9024;Alma;utca;;0;;0;
9027;Almafa;út;;0;;0;
9023;Álmos                         ;utca;;0;;0;
9022;Álom                          ;köz;;0;;0;
9025;Alpár                         ;utca;;0;;0;
9011;Alpesi;út;;0;;0;
9028;Alsókert;utca;;0;;0;
9021;Amadé László                  ;utca;;0;;0;
9011;Andrásvári                    ;út;Gyõrszentiván;0;;0;
9022;Apáca                         ;utca;;0;;0;
9030;Apály                         ;utca;;0;;0;
9021;Apor Vilmos püspök            ;tere;;0;;0;
9021;Aradi vértanúk                ;útja;;0;;0;
9028;Aranka;utca;;0;;0;
9021;Arany János                   ;utca;;0;;0;
9024;Aranyesõ;utca;;0;;0;
9024;Aranyhal;utca;;0;;0;
9029;Aranyhomok                    ;utca;;0;;0;
9011;Aranyos                       ;út;Gyõrszentiván;0;;0;
9028;Arató                         ;utca;;0;;0;
9030;Árkoskert                     ;utca;;0;;0;
9029;Árnika;utca;;0;;0;
9011;Árnyas                        ;köz;Gyõrszentiván;0;;0;
9011;Árnyas                        ;utca;Gyõrszentiván;0;;0;
9012;Árpa;utca;;0;;0;
9021;Árpád                         ;út;;1;;47;
9021;Árpád                         ;út;;2;;36;
9022;Árpád                         ;út;;-3;;0;
9024;Articsóka;utca;;0;;0;
9025;Árvaház                       ;utca;;0;;0;
9011;Árvalányhaj                   ;út;Gyõrszentiván;0;;0;
9026;Árvíz                         ;utca;;0;;0;
9030;Asbóth Sándor                 ;utca;;0;;0;
9025;Átló;utca;;0;;0;
9023;Attila                        ;utca;;0;;0;
9011;Auer Lipót;utca;;0;;0;
9028;Aulich                        ;utca;;0;;0;
9028;Auróra                        ;utca;;0;;0;
9011;Avar;utca;Gyõrszentiván;0;;0;
9024;Babits Mihály                 ;utca;;0;;0;
9026;Bácsai                        ;út;;0;;0;
9028;Bagoly;utca;;0;;0;
9021;Bajcsy-Zsilinszky             ;út;;1;;35;
9021;Bajcsy-Zsilinszky             ;út;;2;;42;
9022;Bajcsy-Zsilinszky             ;út;;-3;;0;
9028;Bajnok                        ;utca;;0;;0;
9027;Bajza                         ;utca;;0;;0;
9024;Bakonyi;út;;0;;0;
9025;Bakter;utca;;0;;0;
9027;Balassi Bálint                ;utca;;0;;0;
9025;Bálint Mihály                 ;utca;;0;;0;
9028;Balogh Ádám                   ;utca;;0;;0;
9029;Bálvány                       ;utca;;0;;0;
9023;Bán Aladár                    ;utca;;0;;0;
9028;Banai                         ;út;;0;;0;
9011;Barackos;út;Gyõrszentiván;0;;0;
9011;Bárányréti                    ;út;Gyõrszentiván;0;;0;
9024;Baráti;út;;0;;0;
9028;Barátság;utca;;0;;0;
9023;Bárczi Gusztáv                ;utca;;0;;0;
9026;Barka;sor;;0;;0;
9021;Baross Gábor                  ;út;;1;;37;
9021;Baross Gábor                  ;út;;2;;38;
9024;Baross Gábor                  ;út;;-3;;0;
9029;Bársonyka;utca;;0;;0;
9028;Bársonyvirág;utca;;0;;0;
9023;Bartók Béla;út;;-1;;0;
9024;Bartók Béla;út;;-2;;0;
9022;Bástya                        ;utca;;0;;0;
9026;Báthori                       ;út;;0;;0;
9026;Báthori                       ;köz;;0;;0;
9022;Batthyány                     ;tér;;0;;0;
9025;Bécsi                         ;út;;0;;0;
9021;Bécsi kapu                    ;tér;;0;;0;
9025;Beér                          ;köz;;0;;0;
9025;Béke                          ;utca;;0;;0;
9022;Belváros                      ;köz;;0;;0;
9024;Bem                   ;tér;;0;;0;
9021;Benczúr                       ;utca;;0;;0;
9029;Benedek Elek                  ;utca;;0;;0;
9025;Bercsényi                     ;liget;;0;;0;
9027;Berkenyefa;sor;;0;;0;
9027;Berzsenyi Dániel              ;utca;;0;;0;
9025;Bethlen István;tér;;0;;0;
9012;Bezerédj                    ;út;Ménfõcsanak;0;;0;
9028;Bianka;utca;;0;;0;
9029;Bíbor;utca;;0;;0;
9030;Bierbauer Lipót;utca;;0;;0;
9025;Birkás                        ;köz;;0;;0;
9022;Bisinger  József                    ;sétány;;0;;0;
9023;Blaha Lujza                   ;utca;;0;;0;
9024;Bocskai                       ;utca;;0;;0;
9024;Bodócs István;utca;;0;;0;
9029;Bodzás                        ;utca;;0;;0;
9011;Bogáncs;utca;Gyõrszentiván;0;;0;
9029;Boglárka                      ;utca;;0;;0;
9025;Bokréta                       ;utca;;0;;0;
9030;Bokros;sétány;;0;;0;
9028;Boldizsár;utca;;0;;0;
9027;Bólyai Farkas                 ;utca;;0;;0;
9028;Bornemissza                   ;utca;;0;;0;
9011;Boróka;út;Gyõrszentiván;0;;0;
9028;Boros;utca;;0;;0;
9026;Borostyán;sétány;;0;;0;
9028;Borostyánkõ;utca;;0;;0;
9028;Borsóhelyi                    ;dûlõ;;0;;0;
9024;Borsos Miklós                 ;utca;;0;;0;
9025;Botond                        ;utca;;0;;0;
