IRSZ.;CíMHELY NEVE;JELLEGE;VÁROSRÉSZ;1.SZÁM;1.JEL;2.SZÁM;2.JEL;;;;;;
6728;1.;utca;Baktó;0;;0;;;;;;;
6728;10.;utca;Baktó;0;;0;;;;;;;
6728;11.;utca;Baktó;0;;0;;;;;;;
6728;12.;utca;Baktó;0;;0;;;;;;;
6728;13.;utca;Baktó;0;;0;;;;;;;
6728;14.;utca;Baktó;0;;0;;;;;;;
6728;15.;utca;Baktó;0;;0;;;;;;;
6728;16.;utca;Baktó;0;;0;;;;;;;
6728;17.;utca;Baktó;0;;0;;;;;;;
6728;18.;utca;Baktó;0;;0;;;;;;;
6728;19.;utca;Baktó;0;;0;;;;;;;
6728;2.;utca;Baktó;0;;0;;;;;;;
6728;20.;utca;Baktó;0;;0;;;;;;;
6728;21.;utca;Baktó;0;;0;;;;;;;
6728;22.;utca;Baktó;0;;0;;;;;;;
6728;23.;utca;Baktó;0;;0;;;;;;;
6728;24.;utca;Baktó;0;;0;;;;;;;
6728;25.;utca;Baktó;0;;0;;;;;;;
6728;26.;utca;Baktó;0;;0;;;;;;;
6728;27.;utca;Baktó;0;;0;;;;;;;
6728;28.;utca;Baktó;0;;0;;;;;;;
6728;29.;utca;Baktó;0;;0;;;;;;;
6728;3.;utca;Baktó;0;;0;;;;;;;
6728;30.;utca;Baktó;0;;0;;;;;;;
6728;31.;utca;Baktó;0;;0;;;;;;;
6728;32.;utca;Baktó;0;;0;;;;;;;
6728;33.;utca;Baktó;0;;0;;;;;;;
6728;34.;utca;Baktó;0;;0;;;;;;;
6728;35.;utca;Baktó;0;;0;;;;;;;
6728;36.;utca;Baktó;0;;0;;;;;;;
6728;37.;utca;Baktó;0;;0;;;;;;;
6728;38.;utca;Baktó;0;;0;;;;;;;
6728;39.;utca;Baktó;0;;0;;;;;;;
6728;4.;utca;Baktó;0;;0;;;;;;;
6728;40.;utca;Baktó;0;;0;;;;;;;
6728;41.;utca;Baktó;0;;0;;;;;;;
6728;42.;utca;Baktó;0;;0;;;;;;;
6728;43.;utca;Baktó;0;;0;;;;;;;
6728;44.;utca;Baktó;0;;0;;;;;;;
6728;45.;utca;Baktó;0;;0;;;;;;;
6728;46.;utca;Baktó;0;;0;;;;;;;
6728;47.;utca;Baktó;0;;0;;;;;;;
6728;48.;utca;Baktó;0;;0;;;;;;;
6728;49.;utca;Baktó;0;;0;;;;;;;
6728;5.;utca;Baktó;0;;0;;;;;;;
6728;50.;utca;Baktó;0;;0;;;;;;;
6728;51.;utca;Baktó;0;;0;;;;;;;
6728;52.;utca;Baktó;0;;0;;;;;;;
6728;53.;utca;Baktó;0;;0;;;;;;;
6728;54.;utca;Baktó;0;;0;;;;;;;
6728;55.;utca;Baktó;0;;0;;;;;;;
6728;56.;utca;Baktó;0;;0;;;;;;;
6728;57.;utca;Baktó;0;;0;;;;;;;
6728;58.;utca;Baktó;0;;0;;;;;;;
6728;59.;utca;Baktó;0;;0;;;;;;;
6728;60.;utca;Baktó;0;;0;;;;;;;
6728;6.;utca;Baktó;0;;0;;;;;;;
6728;7.;utca;Baktó;0;;0;;;;;;;
6728;8.;utca;Baktó;0;;0;;;;;;;
6728;9.;utca;Baktó;0;;0;;;;;;;
6726;Aba                 ;utca;;0;;0;;;;;;;
6726;Ábel                ;utca;;0;;0;;;;;;;
6753;Abony               ;utca;Tápé;0;;0;;;;;;;
6727;Acél                ;utca;;0;;0;;;;;;;
6724;Ács                 ;utca;;0;;0;;;;;;;
6791;Acsalapu;utca;;0;;0;;;;;;;
6729;Adai                ;utca;;0;;0;;;;;;;
6753;Ádám                ;utca;Tápé;0;;0;;;;;;;
6791;Adél                ;köz;Kiskundorozsma;0;;0;;;;;;;
6753;Adorján             ;utca;Tápé;0;;0;;;;;;;
6722;Ady                 ;tér;;0;;0;;;;;;;
6791;Áfonya;utca;Kiskundorozsma;0;;0;;;;;;;
6723;Ág                  ;utca;;0;;0;;;;;;;
6791;Aggófû;utca;;0;;0;;;;;;;
6726;Ágnes               ;utca;;0;;0;;;;;;;
6723;Agyagos             ;utca;;0;;0;;;;;;;
6710;Ajtony              ;köz;Szentmihály;0;;0;;;;;;;
6726;Akácfa              ;utca;;0;;0;;;;;;;
6726;Akácvirág;köz;;0;;0;;;;;;;
6753;Ákos                ;utca;Tápé;0;;0;;;;;;;
6722;Alföldi             ;utca;;1;;9;;;;;;;
6722;Alföldi             ;utca;;2;;12;;;;;;;
6725;Alföldi             ;utca;;-3;;0;;;;;;;
6727;Algyõi;út;;-1;;0;;;;;;;
6728;Algyõi ;út;;-2;;0;;;;;;;
6729;Alig                ;utca;;0;;0;;;;;;;
6725;Alkony              ;utca;;0;;0;;;;;;;
6728;Alkotmány           ;utca;;0;;0;;;;;;;
6725;Állomás             ;utca;;0;;0;;;;;;;
6728;Alma                ;utca;;0;;0;;;;;;;
6710;Álmos               ;köz;Szentmihály;0;;0;;;;;;;
6726;Alsó kikötõ         ;sor;;0;;0;;;;;;;
6725;Alsó-nyomási         ;sor;;0;;0;;;;;;;
6725;Alsótiszapart      ;;;0;;0;;;;;;;
6725;Alsóvárosi feketeföldek;;;0;;0;;;;;;;
6726;Altorjay István;utca;;0;;0;;;;;;;
6726;Ambrus              ;utca;;0;;0;;;;;;;
6757;Ananász;utca;Gyálarét;0;;0;;;;;;;
6726;András              ;utca;;0;;0;;;;;;;
6791;Ánizs;utca;Kiskundorozsma;0;;0;;;;;;;
6726;Anna                ;utca;;0;;0;;;;;;;
6722;Apáca               ;utca;;3;;4;;;;;;;
6725;Apáca               ;utca;;-3;;0;;;;;;;
6757;Apály               ;utca;Gyálarét;0;;0;;;;;;;
6720;Apáthy István             ;utca;;0;;0;;;;;;;
6729;Apatini             ;utca;;0;;0;;;;;;;
6771;Apátság             ;utca;Szõreg;0;;0;;;;;;;
6720;Aradi vértanúk      ;tere;;0;;0;;;;;;;
6726;Aranka              ;utca;;0;;0;;;;;;;
6720;Arany János         ;utca;;0;;0;;;;;;;
6726;Aranymûves;köz;;0;;0;;;;;;;
6726;Aranyosi            ;utca;;0;;0;;;;;;;
6725;Araszt              ;utca;;0;;0;;;;;;;
6753;Arató               ;utca;Tápé;0;;0;;;;;;;
6721;Árbóc               ;utca;;0;;0;;;;;;;
6791;Árnika;utca;Kiskundorozsma;0;;0;;;;;;;
6753;Árnyas              ;utca;Tápé;0;;0;;;;;;;
6753;Árok                ;utca;Tápé;0;;0;;;;;;;
6791;Árpa                ;utca;Kiskundorozsma;0;;0;;;;;;;
6720;Árpád               ;tér;;0;;0;;;;;;;
6724;Árva                ;utca;;0;;0;;;;;;;
6791;Árvacsalán;köz;;0;;0;;;;;;;
6753;Árvácska            ;utca;Tápé;0;;0;;;;;;;
6791;Árvalányhaj;utca;;0;;0;;;;;;;
6724;Árvíz               ;utca;;0;;0;;;;;;;
6753;Ásványhát           ;utca;Tápé;0;;0;;;;;;;
6791;Aszat;köz;;0;;0;;;;;;;
6726;Asztalos            ;utca;;0;;0;;;;;;;
6791;Atracél;köz;;0;;0;;;;;;;
6726;Átrium              ;köz;;0;;0;;;;;;;
6722;Attila              ;utca;;0;;0;;;;;;;
6723;Avar                ;utca;;0;;0;;;;;;;
6727;Babér               ;utca;;0;;0;;;;;;;
6726;Babits Mihály       ;utca;;0;;0;;;;;;;
6728;Back Bernát;utca;;0;;0;;;;;;;
6757;Bacsó Béla          ;utca;Gyálarét;0;;0;;;;;;;
6726;Bagoly              ;utca;;0;;0;;;;;;;
6728;Bajai;út;;0;;0;;;;;;;
6728;Bajmóci            ;utca;;0;;0;;;;;;;
6727;Bajnok              ;utca;;0;;0;;;;;;;
6720;Bajza               ;utca;;0;;0;;;;;;;
6724;Bakay Nándor        ;utca;;0;;0;;;;;;;
6727;Bakcsó;köz;;0;;0;;;;;;;
6727;Bakonyi             ;utca;;0;;0;;;;;;;
6728;Bakterház;út;;0;;0;;;;;;;
6728;Baktói              ;utca;;0;;0;;;;;;;
6726;Bal;fasor;;0;;0;;;;;;;
6791;Balabás             ;utca;Kiskundorozsma;0;;0;;;;;;;
6791;Balajthy            ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Balatoni            ;utca;;0;;0;;;;;;;
6729;Balázs Béla         ;utca;;0;;0;;;;;;;
6724;Bálint Sándor       ;utca;;0;;0;;;;;;;
6791;Ballada             ;utca;Kiskundorozsma;0;;0;;;;;;;
6725;Ballagi-tó          ;sor;;0;;0;;;;;;;
6753;Balogh;tanya;;0;;0;;;;;;;
6791;Baltacin;utca;;0;;0;;;;;;;
6725;Bálvány             ;utca;;0;;0;;;;;;;
6757;Banán;utca;Gyálarét;0;;0;;;;;;;
6727;Bánk bán            ;utca;;0;;0;;;;;;;
6725;Bánomkert           ;sor;;0;;0;;;;;;;
