A településrészek részletes adatai,,,,,,,,,,
,,,,,,,,,,
Helység KSH kód,Helység hivatalos megnevezése,Vármegye megnevezése,Településrész megnevezése,Településrész jelleg kód,Postai irányító-szám,A külterület települési jellege,A településrész távolsága a központi belterülettől,A népszámlálási lakónépesség,A lakások száma,Lakott egyéb lakóegységek száma
17376,Aba,Fejér,Belsőbáránd,01,8128,,3.5,225,91,0
17376,Aba,Fejér,Bodakajtor,01,8127,,5.0,232,80,0
17376,Aba,Fejér,Központi belterület,00,8127,,,"3,902","1,361",1
17376,Aba,Fejér,Külterület,02,8127,Lh.,1.0,59,29,0
12441,Abádszalók,Jász-Nagykun-Szolnok,Abádimajor,02,5241,Mgl.,2.0,,,
12441,Abádszalók,Jász-Nagykun-Szolnok,Abádszalók vasútállomás,02,5241,Forg.,5.4,,,
12441,Abádszalók,Jász-Nagykun-Szolnok,Aranyos,02,5340,Lh.,0.7,,,
12441,Abádszalók,Jász-Nagykun-Szolnok,Batatanya,02,5241,Lh.,1.0,,1,0
12441,Abádszalók,Jász-Nagykun-Szolnok,Félixmajor,02,5340,Mgl.,0.3,11,7,0
12441,Abádszalók,Jász-Nagykun-Szolnok,Gátőrház,02,5242,Őh.,3.0,,1,0
12441,Abádszalók,Jász-Nagykun-Szolnok,Kisgyócs,02,5241,Kt.,6.0,,,
12441,Abádszalók,Jász-Nagykun-Szolnok,Központi belterület,00,5241,,,"3,858","2,008",1
12441,Abádszalók,Jász-Nagykun-Szolnok,Lászlómajor,02,5340,Kt.,1.5,,,
12441,Abádszalók,Jász-Nagykun-Szolnok,Pusztatomaj,02,5340,Mgl.,8.4,,,
12548,Abaliget,Baranya,Központi belterület,00,7678,,,578,262,0
12548,Abaliget,Baranya,Kültelek,02,7678,Mgl.,4.9,52,22,2
24554,Abasár,Heves,Központi belterület,00,3261,,,"2,527","1,176",0
15662,Abaújalpár,Borsod-Abaúj-Zemplén,Aranyosfürdő,02,3882,Lh.,0.0,,1,0
15662,Abaújalpár,Borsod-Abaúj-Zemplén,Központi belterület,00,3882,,,64,52,0
15662,Abaújalpár,Borsod-Abaúj-Zemplén,Verőmájdűlő,02,3882,Lh.,3.0,,,
15662,Abaújalpár,Borsod-Abaúj-Zemplén,Völgykapu,02,3882,Lh.,5.0,2,1,0
26718,Abaújkér,Borsod-Abaúj-Zemplén,Aranyospuszta,01,3882,,3.1,123,71,0
26718,Abaújkér,Borsod-Abaúj-Zemplén,Központi belterület,00,3882,,,438,206,0
26718,Abaújkér,Borsod-Abaúj-Zemplén,Völgykapu,02,3860,Lh.,5.0,,,
02820,Abaújlak,Borsod-Abaúj-Zemplén,Központi belterület,00,3815,,,56,57,0
02820,Abaújlak,Borsod-Abaúj-Zemplén,Szanticska,02,3815,Lh.,2.0,6,18,0
03595,Abaújszántó,Borsod-Abaúj-Zemplén,Alsóbea,02,3881,Kt.,1.1,,,
03595,Abaújszántó,Borsod-Abaúj-Zemplén,Hidegpataki erdészház,02,3881,Őh.,5.2,,1,0
03595,Abaújszántó,Borsod-Abaúj-Zemplén,Központi belterület,00,3881,,,"2,727","1,161",0
26338,Abaújszolnok,Borsod-Abaúj-Zemplén,Központi belterület,00,3809,,,184,50,0
