Timestamp,Életkora,Neme,Lakhelyének irányítószáma,Legmagasabb iskolai végzettsége,Hány éve szolgál?,Rendfokozata,Mennyire ismeri vagy használja a drónokat?,Az Ön civil munkaerőpiaci státusza,Az Ön átlagos havi nettó civil keresete (kérjük Magyar Foritban adja meg a kézhez kapott összeget),Az Ön civil munkahelyének mérete (ha alkalmazható),Az Ön civil munkahelyének tulajdonosi jellege (ha alkalmazható),Az Ön civil munkahelyének jogi formája (ha alkalmazható),"A drónok használatával sokkal jobban fel tudjuk deríteni a terepet, és pontosabban látjuk, mi történik körülöttünk.","A drónok megvédik a katonákat, mert nem kell személyesen bemennünk a legveszélyesebb helyzetekbe.","A raj és a szakasz gyorsabban tud dönteni és cselekedni, ha drónok is segítik a feladatot.",A modern eszközök (például a drónok) miatt több fiatal akar majd csatlakozni az önkéntes tartalékosokhoz.,"A jelenlegi, rövid idejű kiképzések alatt nincs elég idő arra, hogy rendesen megtanuljuk a drónok kezelését.","A különböző életkorú katonák nem egyformán értenek a digitális eszközökhöz, és ez gondot okozhat a használat során.","A terepen nehéz megoldani a drónok töltését és folyamatos karbantartását, így nem tudjuk őket megszakítás nélkül használni.",A drónirányítók és a földi csapatok közötti rossz kommunikáció miatt a fontos információk nem jutnak el időben a megfelelő helyre.,A civil életben (hobbiként vagy munkaként) szerzett drónos tudást a sereg nagyon jól és gyorsan tudná használni.,"A drónok miatt új, érdekesebb beosztások jöhetnek létre a tartalékos rendszernél (például drónkezelő).","A civilek jobban elismernék a tartalékosokat, ha látnák, hogy drónokkal segítünk például egy árvízi védekezésben vagy katasztrófánál.",A hazai haditechnikai fejlesztések révén a tartalékosok is könnyebben hozzájuthatnak a legújabb modern eszközökhöz.,Az ellenség zavaróberendezései könnyen használhatatlanná tehetik vagy megzavarhatják az egyszerűbb drónokat a harctéren.,A drónok használata miatt az ellenség könnyebben lehallgathat minket vagy feltörheti a rendszereinket.,"A szigorú légtér- és jogszabályok miatt nehéz lesz engedélyt kapni arra, hogy a terepen, a valóságban is sokat gyakorolhassunk velük.","Ha a katonák túlságosan hozzászoknak a technika nyújtotta kényelemhez, elfelejthetik az alapvető harcászati és tájékozódási szabályokat."
27/07/2026 14:37:52,49,Férfi,4461,"Tudományos fokozat (PhD, DLA)",5,Őrnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,520000,Középvállalkozás (50–249 fő),Állami-közszféra,Oktatási intézmény,6,7,7,5,7,7,5,2,6,6,7,3,5,3,6,1
27/07/2026 14:48:01,44,Férfi,7761,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",9,Hadnagy,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,850000,Nagyvállalat (250+ fő),Állami-közszféra,Egyetem,7,7,7,5,7,3,5,5,6,7,7,7,6,2,7,3
27/07/2026 14:55:25,45,Nő,4400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",7,Főhadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,600000,,,,7,4,5,5,7,7,5,5,6,6,6,6,6,4,7,5
27/07/2026 14:59:04,51,Nő,4400,Érettségi (középiskola),6,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Nagyvállalat (250+ fő),Állami-közszféra,EV (Egyéni vállalkozó),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
27/07/2026 15:06:06,40,Férfi,9400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",8,Főhadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Egyéni vállalkozó,900000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,7,7,2,4,4,7,7,7,5,6,1,2,1
27/07/2026 16:09:32,20,Nő,3909,Érettségi (középiskola),0,Közkatona,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,6,5,5,3,7,6,7,4,6,5,2,3,3,5,5,2
27/07/2026 17:01:08,20,Nő,1041,Érettségi (középiskola),0,Közkatona,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,-,,,,7,7,7,6,5,7,7,1,3,7,1,6,7,6,7,6
27/07/2026 17:01:31,19,Nő,1156,Érettségi (középiskola),0,Közkatona,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,2000000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,7,5,7,1,1,7,7,1,3,7,1,1,3
27/07/2026 17:01:54,20,Nő,1075,Érettségi (középiskola),0,Közkatona,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,450000,Nagyvállalat (250+ fő),Magyar tulajdonú,Hallgatói munkajogviszony,7,7,7,4,5,5,7,5,3,5,1,6,5,5,6,6
27/07/2026 17:05:31,18,Férfi,1112,Általános iskola,0,Közkatona ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Munkanélküli,0,Mikrovállalkozás (1–9 fő),,,6,5,6,4,5,6,3,3,4,6,4,6,5,4,7,2
27/07/2026 17:08:41,20,Férfi,5356,Érettségi (középiskola),0,Közkatona ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,200000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,,7,6,6,4,6,4,2,4,6,7,5,2,5,5,3,2
27/07/2026 17:11:22,25,Férfi,1118,Általános iskola,0,Közkatona ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,420000,,Külföldi tulajdonú / Nemzetközi (multi),Zrt,7,7,7,4,7,1,1,4,4,7,7,3,7,4,1,1
27/07/2026 17:20:22,29,Nő,8640,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",8,Főhadnagy,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,264000,Középvállalkozás (50–249 fő),Állami-közszféra,Múzeum,7,4,7,3,7,5,4,1,7,7,2,1,4,4,4,4
27/07/2026 17:52:01,20,Férfi,1033,Érettségi (középiskola),0,Közkatona ,Soha nem találkoztam / nem foglalkoztam velük,Egyéni vállalkozó,350000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),6,5,3,3,5,7,4,4,4,1,1,1,6,5,3,2
27/07/2026 22:23:36,30,Nő,4450,Érettségi (középiskola),3,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Társas vállalkozó,700000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),5,7,6,5,5,4,4,5,4,5,5,5,5,4,3,6
27/07/2026 22:37:51,39,Nő,4400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",13,Százados ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,750000,Nagyvállalat (250+ fő),Állami-közszféra,.,7,7,7,5,7,7,2,6,5,6,4,1,7,7,5,4
28/07/2026 12:58:18,27,Férfi,3700,Érettségi (középiskola),1,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),Nyrt,7,7,7,7,7,7,5,4,7,7,7,7,5,3,7,2
